"","G","GS","QBrec","Cmp","Att","Cmp%","Yds","TD","TD%","Int","Int%","Lng","Y/A","AY/A","Y/C","Y/G","Rate","Sk","Yds.1","NY/A","ANY/A","Sk%","AV"
"4",31,27,-1,506,927,163.1,6195,43,13,35,13.2,214,19.7,16.4,36.1,556.8,212.1,36,262,17.76,14.57,13.7,19
"5",44,43,-15,685,1263,163,8333,36,8.7,42,10.2,233,19.8,17,36.7,566.2,211.1,132,860,16.04,13.48,28.7,26
"6",11,6,-4,159,266,120.9,1911,8,3.7,18,14.7,63,13.6,7.7,22.5,330.1,152.5,9,67,12.37,6.8,8.5,2
"7",38,37,1,545,985,166.6,6624,37,11.6,28,8.2,231,20.4,19,36.9,525.3,234.9,114,650,16.5,15.26,31.8,24
"9",29,25,-5,486,882,152.9,6016,42,9.5,27,17,183,18.1,12.4,35.5,467.6,177.1,45,279,15.47,10.64,28.1,22
"10",44,43,-1,937,1756,158.6,10556,53,9.1,58,9.9,163,17.9,15.3,34,710.3,202.3,61,408,16.63,14.1,10.2,26
"12",36,34,2,545,981,165.8,5618,31,9.7,32,10.5,177,17.2,14.4,31.3,474.3,205.1,75,485,14.71,12.13,21.4,13
"13",14,9,-5,168,293,184.2,1764,7,2.6,7,7.9,136,20.7,17.7,33.6,274.6,222,39,243,14.11,11.8,45.7,5
"14",46,45,-23,1003,1706,176.4,11241,69,11.8,51,9.2,204,19.6,17.9,33.5,728.6,236.5,140,862,16.72,15.13,23.4,29
"15",0,42,-11,873,1498,173,9378,45,8.6,34,6.6,197,18.8,17.4,32.5,667.3,229.6,105,725,16.04,14.86,20.6,21
"16",32,30,10,638,1017,159.3,6613,46,9.1,26,5.2,146,15.2,14.5,26.9,430.8,214.6,72,406,13.45,12.93,13.9,25
"17",28,27,-7,540,909,174,5613,29,10,31,7.2,160,20.3,19,35.3,617.9,239.2,47,370,17.97,16.76,16.9,17
"18",30,28,6,551,851,129.7,6150,28,6.6,22,55,139,14.5,-9,22.4,426.4,173.9,83,556,12.01,-11.34,17.8,22
